Discharge(Wh),Charge(Wh),Production(Wh),Consumption(Wh),Feed-in(Wh),From grid(Wh),State of Charge(%),Month,Day,Hour
0.0,7.67,0.0,96.21000000000001,0.0,103.88,0.0,1,1,1
0.0,7.800000000000001,0.0,41.13,0.0,48.93,0.0,1,1,2
0.0,8.34,0.0,80.93,0.0,89.27,0.0,1,1,3
0.0,7.800000000000001,0.0,65.69,0.0,73.49,0.0,1,1,4
0.0,7.82,0.0,42.95,0.0,50.77,0.0,1,1,5
0.0,7.86,0.0,72.65,0.0,80.51,0.0,1,1,6
0.0,7.82,0.0,37.96,0.0,45.78,0.0,1,1,7
0.0,8.28,0.0,70.9,0.0,79.17999999999999,0.0,1,1,8
0.0,3.43,19.83,59.07,0.0,42.67,0.0,1,1,9
0.0,48.96,111.8,280.16,0.0,217.32,0.0,1,1,10
0.0,354.46,399.59,201.71,0.0,156.58,0.0,1,1,11
0.0,660.3,667.77,32.24,0.01,24.78,1.0,1,1,12
658.73,91.03,356.83,1435.91,2.8200000000000003,514.2,8.0,1,1,13
0.06,87.32,133.42,65.65,0.36,19.85,1.0,1,1,14
21.92,12.93,28.97,58.18,0.0,20.22,1.0,1,1,15
9.46,4.45,0.38,511.56,0.0,506.17,1.0,1,1,16
0.0,7.800000000000001,0.0,1069.9,0.0,1077.7,0.0,1,1,17
0.0,7.800000000000001,0.0,1388.3799999999999,0.0,1396.18,0.0,1,1,18
0.0,7.800000000000001,0.0,896.33,0.0,904.13,0.0,1,1,19
0.0,7.94,0.0,817.86,0.0,825.8,0.0,1,1,20
0.0,8.120000000000001,0.0,739.84,0.0,747.96,0.0,1,1,21
0.0,8.18,0.0,275.74,0.0,283.92,0.0,1,1,22
0.0,7.800000000000001,0.0,312.95,0.0,320.75,0.0,1,1,23
0.0,7.800000000000001,0.0,18.25,0.0,26.05,4.0,1,2,0
33.43,4.8,0.0,55.06,0.0,26.43,4.0,1,2,1
0.0,7.800000000000001,0.0,16.29,0.0,24.09,3.0,1,2,2
0.0,8.34,0.0,17.02,0.0,25.36,3.0,1,2,3
34.5,4.78,0.1,55.64,0.0,25.82,3.0,1,2,4
0.0,7.800000000000001,0.0,16.36,0.0,24.16,2.0,1,2,5
7.63,7.15,0.0,26.19,0.0,25.71,2.0,1,2,6
25.04,5.6000000000000005,0.0,45.589999999999996,0.0,26.15,2.0,1,2,7
