PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed,month,day,hour_minute
0.0,0.83,2.15,4.12,2.07,1,1,9
4.47,14.37,7.91,4.48,2.07,1,1,10
9.7,22.45,11.94,5.47,2.07,1,1,11
49.28,72.31,13.94,6.16,2.07,1,1,12
108.5,139.14,13.73,6.93,2.55,1,1,13
410.44,478.48,11.32,7.37,2.62,1,1,14
83.93,111.86,6.93,7.35,3.03,1,1,15
0.0,2.49,2.18,9.05,5.86,1,2,9
76.67,103.7,7.95,9.31,6.0,1,2,10
103.41,134.1,12.0,9.5,5.93,1,2,11
44.76,67.76,14.02,9.73,5.66,1,2,12
88.61,118.32,13.82,10.27,5.66,1,2,13
261.94,310.12,11.43,10.63,6.21,1,2,14
27.15,46.26,7.05,10.84,6.14,1,2,15
0.78,7.46,2.22,3.68,2.48,1,3,9
292.92,338.49,8.0,3.97,2.28,1,3,10
446.87,516.46,12.07,4.98,2.14,1,3,11
556.65,651.19,14.11,6.09,2.28,1,3,12
502.84,586.82,13.93,6.88,2.48,1,3,13
274.05,322.58,11.54,7.29,2.41,1,3,14
94.08,123.23,7.17,7.27,2.9,1,3,15
0.0,1.66,2.26,5.77,2.62,1,4,9
5.53,16.16,8.06,5.88,2.62,1,4,10
18.11,34.12,12.15,6.51,2.48,1,4,11
111.84,142.91,14.2,7.02,2.62,1,4,12
56.94,81.57,14.04,7.53,2.69,1,4,13
51.94,75.7,11.67,7.86,2.48,1,4,14
19.34,35.85,7.3,7.98,2.76,1,4,15
0.0,1.66,2.31,8.7,4.14,1,5,9
46.28,68.94,8.12,9.03,4.28,1,5,10
62.5,88.28,12.23,9.37,4.41,1,5,11
26.1,44.9,14.3,9.63,4.41,1,5,12
74.75,102.67,14.15,10.0,4.97,1,5,13
118.9,151.93,11.8,10.02,4.48,1,5,14
29.03,48.49,7.44,9.93,4.28,1,5,15
0.0,1.66,2.36,8.95,5.45,1,6,9
52.9,76.64,8.19,8.98,4.41,1,6,10
261.23,306.46,12.32,8.62,5.79,1,6,11
49.57,73.09,14.41,8.2,5.31,1,6,12
376.63,435.13,14.28,8.52,5.79,1,6,13
102.46,132.69,11.93,8.53,5.66,1,6,14
275.54,325.0,7.59,8.4,5.1,1,6,15
0.0,0.9,1.58,8.05,4.55,1,6,16
1.4,8.98,2.42,11.71,6.0,1,7,9
57.87,83.25,8.27,11.9,6.14,1,7,10
37.91,60.0,12.42,12.13,6.34,1,7,11
55.77,81.53,14.53,12.26,6.34,1,7,12
40.79,63.76,14.41,12.41,6.14,1,7,13
3.73,13.47,12.08,12.68,6.0,1,7,14
0.58,7.18,7.74,12.85,5.93,1,7,15
0.0,0.9,1.73,12.97,6.07,1,7,16
0.0,4.49,2.49,6.48,2.62,1,8,9
47.75,70.1,8.36,6.48,2.34,1,8,10
385.53,449.97,12.52,6.83,1.86,1,8,11
112.82,144.28,14.65,7.27,2.28,1,8,12
20.08,36.82,14.55,7.39,2.62,1,8,13
54.72,78.85,12.23,7.32,2.07,1,8,14
155.07,191.74,7.89,7.12,1.24,1,8,15
0.0,0.9,1.89,6.81,0.76,1,8,16
0.0,1.8,2.57,2.39,0.83,1,9,9
34.36,53.56,8.46,2.52,1.03,1,9,10
41.03,61.74,12.64,2.72,0.97,1,9,11
59.49,83.22,14.78,3.04,0.9,1,9,12
131.58,162.7,14.69,3.31,1.38,1,9,13
77.97,103.67,12.38,3.41,2.28,1,9,14
70.5,95.26,8.06,3.56,2.69,1,9,15
0.0,0.9,2.06,3.56,2.28,1,9,16
20.96,37.05,2.65,3.02,2.62,1,10,9
372.82,426.3,8.56,3.62,2.9,1,10,10
85.93,112.7,12.76,4.53,3.59,1,10,11
429.32,493.08,14.92,5.64,3.59,1,10,12
544.83,630.44,14.85,6.45,3.66,1,10,13
